id,name,start,end,location,organization,created,modified
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005410,Sitzung des Beirates zum ehrenamtlichen Bevölkerungs- und Katastrophenschutz (Sammeldatum für alle Vorlagen der neuen Wahlperiode),2025-12-31T00:00:00+01:00,2026-01-01T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=332'],2025-07-15T12:57:47+02:00,2025-07-15T12:57:51+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005257,"Sitzung des Ausschusses für Europa, Internationales, Wissenschaft, Wirtschaft und Arbeit (Sammeldatum für alle Vorlagen der neuen Wahlperiode)",2025-12-31T00:00:00+01:00,2025-12-31T23:59:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=335'],2025-05-28T15:15:06+02:00,2025-05-28T15:15:06+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2004209,Sitzung des Rates,2025-12-11T17:00:00+01:00,2025-12-12T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=1'],2025-10-12T04:40:10+02:00,2025-10-12T04:40:10+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005320,Sitzung der Bezirksvertretung Beuel,2025-12-10T17:00:00+01:00,2025-12-11T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=4'],2025-06-16T13:43:10+02:00,2025-06-16T13:43:10+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005159,Sitzung der Bezirksvertretung Bad Godesberg,2025-12-03T17:00:00+01:00,2025-12-04T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=3'],2025-04-28T10:12:48+02:00,2025-04-28T10:12:49+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005164,Sitzung der Bezirksvertretung Hardtberg,2025-12-02T18:00:00+01:00,2025-12-03T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=5'],2025-05-05T08:17:56+02:00,2025-05-05T08:17:56+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005161,Sitzung der Bezirksvertretung Bonn,2025-12-02T17:00:00+01:00,2025-12-03T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=2'],2025-04-30T08:51:18+02:00,2025-04-30T08:51:18+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2004208,Sitzung des Rates (konstituierende Sitzung),2025-11-13T17:00:00+01:00,2025-11-14T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=1'],2025-10-12T04:40:10+02:00,2025-10-12T04:40:10+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005319,Konstituierende Sitzung der Bezirksvertretung Beuel,2025-11-12T17:00:00+01:00,2025-11-13T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=4'],2025-06-16T13:42:09+02:00,2025-06-16T13:42:09+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005556,Sitzung des Städtebau- und Gestaltungsbeirates,2025-11-12T14:00:00+01:00,2025-11-12T18:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=250'],2025-10-09T10:45:17+02:00,2025-10-09T10:45:17+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005158,Konstituierende Sitzung der Bezirksvertretung Bad Godesberg,2025-11-06T17:00:00+01:00,2025-11-07T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=3'],2025-04-28T10:12:12+02:00,2025-05-05T08:18:37+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005163,Konstituierende Sitzung der Bezirksvertretung Hardtberg,2025-11-04T18:00:00+01:00,2025-11-05T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=5'],2025-05-05T08:17:28+02:00,2025-05-05T08:18:22+02:00
https://www.bonn.sitzung-online.de/public/oparl/meetings?id=2005160,Konstituierende Sitzung der Bezirksvertretung Bonn,2025-11-04T17:00:00+01:00,2025-11-05T00:00:00+01:00,,['https://www.bonn.sitzung-online.de/public/oparl/organizations?typ=gr&id=2'],2025-04-30T08:47:47+02:00,2025-10-14T16:49:10+02:00
